DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Zip Codes
161800614,2/17/2016,2/17/2016,25,18,Southeast,1803,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1402 1813 1276 2000 1243 0400 0416 0334,29,F,H,501,SINGLE FAMILY DWELLING,205,KITCHEN KNIFE,AA,Adult Arrest,236,,,,200 E  88TH                         ST,,"(33.9572, -118.2717)",90003
161800618,2/23/2016,2/23/2016,320,18,Southeast,1823,330,BURGLARY FROM VEHICLE,1609 1304 0329 1402,44,M,B,101,STREET,514,TIRE IRON,AA,Adult Arrest,330,,,,9700    AVALON                       BL,,"(33.947, -118.2684)",90003
161800620,2/24/2016,2/24/2016,240,18,Southeast,1822,310,BURGLARY,0344 1601 0329,28,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,310,,,,10200 S  SPRING                       ST,,"(33.9438, -118.2762)",90003
161800622,2/27/2016,2/27/2016,1020,18,Southeast,1822,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 1313 1310 1312 1302 1309 0416 0906 0371,0,M,B,101,STREET,307,VEHICLE,AO,Adult Other,230,,,,FIGUEROA,CENTURY                      BL,"(33.9456, -118.2826)",90003
161800623,2/27/2016,2/27/2016,1020,18,Southeast,1822,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 1310 1258 1312 1302,9,F,B,101,STREET,307,VEHICLE,IC,Invest Cont,230,,,,FIGUEROA,CENTURY                      BL,"(33.9456, -118.2826)",90003
161800624,2/27/2016,2/27/2016,1305,18,Southeast,1836,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 1300 1816,21,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,1300 E  110TH                        ST,,"(33.9358, -118.252)",90059
161800625,2/27/2016,2/27/2016,1700,18,Southeast,1862,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1813,21,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,11400 S  SAN PEDRO                    ST,,"(33.9271, -118.276)",90061
161800626,2/27/2016,2/27/2016,1020,18,Southeast,1822,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1310 1302 1309 1312 1258,7,F,B,101,STREET,307,VEHICLE,IC,Invest Cont,230,,,,FIGUEROA,CENTURY                      BL,"(33.9456, -118.2826)",90003
161800627,2/29/2016,2/29/2016,405,18,Southeast,1822,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1402 0906 0309 1310 0450,15,M,O,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,230,,,,99TH                         ST,MAIN                         ST,"(33.9465, -118.2739)",90003
161800630,3/4/2016,3/3/2016,2315,18,Southeast,1806,330,BURGLARY FROM VEHICLE,1822 0358 1300 0344 1402,52,M,H,121,YARD (RESIDENTIAL/BUSINESS),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,800 E  90TH                         ST,,"(33.9547, -118.2608)",90002
161800631,3/6/2016,3/5/2016,1935,18,Southeast,1834,210,ROBBERY,0325 0334 0432 0421 0443 1402 0906,60,M,B,202,LIQUOR STORE,207,OTHER KNIFE,AA,Adult Arrest,210,,,,10700    AVALON                       BL,,"(33.9393, -118.2652)",90003
161800634,3/8/2016,3/8/2016,205,18,Southeast,1841,510,VEHICLE - STOLEN,1300 0344 1402,32,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,510,,,,GRAND                        AV,110TH                        ST,"(33.9367, -118.2871)",90044
161800635,3/8/2016,3/8/2016,530,18,Southeast,1824,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,57,F,B,122,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,740,,,,10300    AVALON                       BL,,"(33.9431, -118.2652)",90003
161800636,3/10/2016,3/5/2016,1200,18,Southeast,1802,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0416 0553,9,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627,,,,200 W  92ND                         ST,,"(33.9528, -118.2761)",90003
161800638,3/12/2016,3/11/2016,1900,18,Southeast,1824,943,CRUELTY TO ANIMALS,400,44,M,H,104,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,943,,,,9700    CENTRAL                      AV,,"(33.9483, -118.2541)",90002
161800639,3/13/2016,3/13/2016,35,18,Southeast,1834,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 1100 0302 1419 0407 0430,61,M,B,501,SINGLE FAMILY DWELLING,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230,,,,800 E  105TH                        ST,,"(33.941, -118.2608)",90002
161800640,3/13/2016,3/12/2016,1940,18,Southeast,1804,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1402 0311,17,M,H,203,OTHER BUSINESS,,,JA,Juv Arrest,745,,,,MCKINLEY,MANCHESTER,"(33.9602, -118.261)",90001
161800641,3/13/2016,3/13/2016,30,18,Southeast,1839,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 2002 2000 0416,24,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,2300 E  107TH                        ST,,"(33.9389, -118.2307)",90002
161800642,3/14/2016,3/11/2016,1800,18,Southeast,1839,237,CHILD NEGLECT (SEE 300 W.I.C.),1257 0553,0,M,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,237,,,,101ST                        ST,BEACH                        ST,"(33.939, -118.2314)",90002
161800646,3/17/2016,3/16/2016,2320,18,Southeast,1832,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 0408 2000 1813,28,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,300 W  108TH                        ST,,"(33.9401, -118.2761)",90003
161800647,3/17/2016,3/17/2016,50,18,Southeast,1834,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 1300 1309 0330 2000 1276 1814,28,F,B,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,626,,,,1100 E  108TH                        ST,,"(33.9383, -118.2565)",90002
161800648,3/17/2016,3/17/2016,500,18,Southeast,1823,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0400 0416 1402 1813,48,M,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,236,,,,200 E  97TH                         ST,,"(33.9483, -118.2717)",90003
161800653,3/19/2016,1/11/2016,1950,18,Southeast,1803,440,THEFT PLAIN - PETTY ($950 & UNDER),0701 0400 0344,36,M,H,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,440,,,,300 E  MANCHESTER                   AV,,"(33.9601, -118.2695)",90003
161800654,3/18/2016,3/16/2016,2100,18,Southeast,1822,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0552 0416,16,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,627,,,,100 W  98TH                         ST,,"(33.9472, -118.2739)",90003
161800655,3/18/2016,3/18/2016,1655,18,Southeast,1835,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 2000 0400 0416 0444,24,F,H,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,10700 S  CENTRAL                      AV,,"(33.9393, -118.2541)",90002
161800661,3/18/2016,3/18/2016,1735,18,Southeast,1846,437,RESISTING ARREST,0342 1212,0,X,X,511,PROJECT/TENEMENT/PUBLIC HOUSING,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,437,,,,1500 E  114TH                        ST,,"(33.9311, -118.2479)",90059
161800663,3/19/2016,3/19/2016,15,18,Southeast,1849,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0906 2000 1814 0400 0408,30,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,2200 E  111TH                        ST,,"(33.9343, -118.2335)",90059
161800664,3/20/2016,3/20/2016,410,18,Southeast,1802,320,"BURGLARY, ATTEMPTED",1607 1402 1602,0,M,O,239,MEDICAL MARIJUANA FACILITIES/BUSINESSES,,,IC,Invest Cont,320,,,,9100 S  BROADWAY,,"(33.9538, -118.2782)",90003
161800665,3/20/2016,3/20/2016,1735,18,Southeast,1839,210,ROBBERY,0302 0305 0334 0400 0416 0346 0913 0906,52,M,H,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,210,,,,105TH                        ST,JUNIPER                      ST,"(33.9406, -118.2328)",90002
161800667,3/22/2016,3/22/2016,110,18,Southeast,1822,210,ROBBERY,0344 0321 0400 1300,59,M,W,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,10300 S  BROADWAY,,"(33.9428, -118.2781)",90003
161800669,3/24/2016,3/23/2016,2315,18,Southeast,1842,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0913 1300 2000 1814,32,F,B,122,"VEHICLE, PASSENGER/TRUCK",214,ICE PICK,AA,Adult Arrest,745,,,,100 W  109TH                        ST,,"(33.9374, -118.2739)",90061
161800670,3/24/2016,3/23/2016,2315,18,Southeast,1842,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0445 0334 1814 0411,24,F,B,102,SIDEWALK,214,ICE PICK,AA,Adult Arrest,236,,,,100 W  109TH                        ST,,"(33.9374, -118.2739)",90061
161800672,3/27/2016,3/27/2016,1215,18,Southeast,1803,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0400 0344 1402,20,M,B,402,MARKET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,442,,,,300 E  MANCHESTER                   AV,,"(33.9601, -118.2695)",90003
161800674,4/16/2016,4/16/2016,455,18,Southeast,1821,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 2000 1814,36,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,500 W  103RD                        ST,,"(33.9431, -118.2826)",90003
161800677,3/28/2016,3/28/2016,1745,18,Southeast,1801,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0408 2000 0906 1814,27,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,8800    ORCHARD                      AV,,"(33.958, -118.2881)",90044
161800682,3/31/2016,3/30/2016,1930,18,Southeast,1834,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0416 0553,8,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627,,,,800 E  106TH                        ST,,"(33.9401, -118.2608)",90002
161800684,4/1/2016,4/1/2016,500,18,Southeast,1834,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1407,0,M,O,101,STREET,102,HAND GUN,IC,Invest Cont,753,,,,700 E  108TH                        ST,,"(33.9383, -118.263)",90059
161800685,4/1/2016,3/31/2016,1900,18,Southeast,1834,520,VEHICLE - ATTEMPT STOLEN,1601 0329,53,M,H,101,STREET,,,IC,Invest Cont,520,,,,108TH                        ST,MCKINLEY,"(33.9383, -118.2608)",90059
161800686,3/31/2016,3/31/2016,2000,18,Southeast,1827,624,BATTERY - SIMPLE ASSAULT,0416 0913,48,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,9700    WILMINGTON                   AV,,"(33.9482, -118.239)",90002
161800689,4/6/2016,4/6/2016,1515,18,Southeast,1839,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0400 0417 1280 2015,47,F,B,512,FOSTER HOME BOYS OR GIRLS*,500,UNKNOWN WEAPON/OTHER WEAPON,JA,Juv Arrest,745,,,,2300    SANTA ANA BL,,"(33.9351, -118.2318)",90059
161800690,4/6/2016,4/6/2016,2215,18,Southeast,1861,330,BURGLARY FROM VEHICLE,1300 1307 1609 0329 1402,54,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,600 W  IMPERIAL                     HY,,"(33.931, -118.2848)",90061
161800691,4/8/2016,4/7/2016,1900,18,Southeast,1862,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1257 0364,2,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,235,,,,100 E  120TH                        ST,,"(33.9237, -118.2739)",90061
161800693,4/8/2016,4/3/2016,1200,18,Southeast,1804,310,BURGLARY,1275 1607 0344 1402,45,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,800 E  87TH                         ST,,"(33.9593, -118.2608)",90002
161800694,4/9/2016,4/9/2016,220,18,Southeast,1829,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0429 0408 1300,26,F,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,2100 E  99TH                         PL,,"(33.9471, -118.2348)",90002
161800695,4/8/2016,4/8/2016,700,18,Southeast,1821,320,"BURGLARY, ATTEMPTED",1602 0344 0321,42,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320,,,,800 W  95TH                         ST,,"(33.9501, -118.2893)",90044
161800696,4/8/2016,4/8/2016,700,18,Southeast,1821,320,"BURGLARY, ATTEMPTED",0344 1602 0321,26,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320,,,,800 W  95TH                         ST,,"(33.9501, -118.2893)",90044
161800697,4/9/2016,4/9/2016,1550,18,Southeast,1844,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,70,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,600 E  109TH                        PL,,"(33.9365, -118.2652)",90061
161800700,4/9/2016,4/9/2016,2210,18,Southeast,1822,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1407 0906 0450,28,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,230,,,,100 E  95TH                         ST,,"(33.9502, -118.2739)",90003
161800701,3/10/2016,3/10/2016,30,18,Southeast,1822,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1307,54,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,100 E  95TH                         ST,,"(33.9502, -118.2739)",90003
161800702,4/12/2016,4/11/2016,420,18,Southeast,1837,210,ROBBERY,0344 0361 0337 1419,57,M,B,101,STREET,112,TOY GUN,AA,Adult Arrest,210,,,,GRANDEE,115TH,"(33.9303, -118.2435)",90059
161800703,4/11/2016,4/10/2016,1700,18,Southeast,1841,310,BURGLARY,0344 1602 1607,48,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,800 W  106TH                        ST,,"(33.9399, -118.2894)",90044
161800704,4/10/2016,4/10/2016,1200,18,Southeast,1831,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1258 0360 0400 0447 0416,6,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,627,,,,12600 S  FIGUEROA                     ST,,"(33.9188, -118.283)",90044
161800705,4/12/2016,4/12/2016,750,18,Southeast,1822,210,ROBBERY,0305 0400 0416 2000 1813,57,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,,,92ND                         ST,MAIN,"(33.9469, -118.2772)",90003
161800706,4/12/2016,4/12/2016,340,18,Southeast,1834,626,INTIMATE PARTNER - SIMPLE ASSAULT,1402 0400 0416 2000,34,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,626,,,,10600 S  AVALON                       BL,,"(33.9402, -118.2652)",90003
161800707,4/12/2016,4/12/2016,340,18,Southeast,1834,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1402 0400 0416,14,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,627,,,,AVALON,106TH                        ST,"(33.9402, -118.2652)",90003
161800708,4/12/2016,4/12/2016,340,18,Southeast,1834,624,BATTERY - SIMPLE ASSAULT,1402 0400 0416,32,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,624,,,,AVALON,106TH,"(33.9402, -118.2652)",90003
161800709,4/12/2016,4/12/2016,340,18,Southeast,1834,624,BATTERY - SIMPLE ASSAULT,1402 0400 0416,27,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,624,,,,AVALON,106TH,"(33.9402, -118.2652)",90003
161800710,4/13/2016,4/12/2016,1445,18,Southeast,1802,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1402,28,M,B,101,STREET,218,OTHER CUTTING INSTRUMENT,AO,Adult Other,230,,,,90TH,BROADWAY,"(33.9546, -118.2782)",90003
161800712,4/14/2016,4/14/2016,1620,18,Southeast,1827,210,ROBBERY,0400 0334 0337 0344 1402,32,F,B,101,STREET,207,OTHER KNIFE,AA,Adult Arrest,210,,,,GRANDEE,103RD                        ST,"(33.9487, -118.2392)",90002
161800713,4/15/2016,4/15/2016,700,18,Southeast,1829,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,,5,F,B,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,627,,,,2100 E  99TH                         PL,,"(33.9471, -118.2348)",90002
161800715,4/14/2016,4/14/2016,1925,18,Southeast,1802,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,1259 0908 0432 1402 0400,15,F,B,101,STREET,,,IC,Invest Cont,921,,,,88TH                         ST,FIGUEROA,"(33.9574, -118.2827)",90044
161800717,4/16/2016,4/15/2016,2335,18,Southeast,1829,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0906 2000 0400 0416 0417 1300 1312 1309 1813,27,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,236,,,,99TH                         PL,GRAPE                        ST,"(33.9471, -118.2367)",90002
161800723,4/17/2016,4/17/2016,400,18,Southeast,1804,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 2000 1813,49,F,B,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,930,,,,600 E  87TH                         PL,,"(33.9583, -118.2651)",90002
161800725,4/18/2016,4/11/2016,2000,18,Southeast,1801,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,,0,M,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,235,,,,500 W  93RD                         ST,,"(33.9519, -118.2827)",90044
161800726,4/18/2016,4/18/2016,415,18,Southeast,1861,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307 2000,21,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,AA,Adult Arrest,745,,,,11400 S  VERMONT                      AV,,"(33.931, -118.2916)",90044
161800731,4/19/2016,4/19/2016,100,18,Southeast,1841,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0913 1810,47,M,B,518,TRANSITIONAL HOUSING/HALFWAY HOUSE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230,,,,800 W  104TH                        ST,,"(33.9423, -118.2894)",90044
161800732,4/23/2016,4/23/2016,1718,18,Southeast,1844,210,ROBBERY,0302 0337 0344 0216 1236,19,F,H,210,RESTAURANT/FAST FOOD,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,210,,,,600 E  IMPERIAL                     HY,,"(33.9345, -118.2623)",90059
161800733,4/23/2016,4/23/2016,430,18,Southeast,1832,946,OTHER MISCELLANEOUS CRIME,1501,0,M,O,101,STREET,,,IC,Invest Cont,946,,,,108TH                        ST,GRAND                        ST,"(33.9383, -118.2805)",90003
161800734,4/22/2016,4/22/2016,30,18,Southeast,1835,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,46,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,10400 S  CENTRAL                      AV,,"(33.9419, -118.2541)",90002
161800736,4/23/2016,4/23/2016,1725,18,Southeast,1829,626,INTIMATE PARTNER - SIMPLE ASSAULT,0408 2000 1813,21,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,10100    GRAPE                        ST,,"(33.9449, -118.2367)",90002
161800737,4/23/2016,4/23/2016,1200,18,Southeast,1822,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1307 0311,42,F,B,122,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740,,,,100 W  102ND                        ST,,"(33.9438, -118.2739)",90003
161800738,4/24/2016,4/24/2016,230,18,Southeast,1837,820,ORAL COPULATION,0512 1402 0345 1206 1822,32,F,B,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,820,,,,105TH,ANZAC,"(33.9363, -118.2426)",90059
161800739,4/24/2016,4/24/2016,1200,18,Southeast,1832,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1307,65,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,AA,Adult Arrest,740,,,,10400 S  BROADWAY,,"(33.9419, -118.2781)",90003
